,Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,,breach_start,breach_end,year
979,978,University of Minnesota Employee Benefits,MN,"HealthPartners Administrators, Inc.",715,01/07/08,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",21/04/14,,07/01/08,NA,2008
980,979,San Francisco General Hospital & Trauma Center,CA,Sutherland Healthcare Solutions,55900,02/05/14,Theft,Desktop Computer,30/05/14,,05/02/14,NA,2014
981,980,University of Kentucky UK HealthCare,KY,Talyst,1079,02/04/14,Theft,Laptop,21/04/14,,04/02/14,NA,2014
982,981,Yellowstone Boys and Girls Ranch,MT,,543,07/11/13,Theft,Paper,24/06/14,,11/07/13,NA,2013
983,982,"Orlando Health, Inc.",FL,,586,1/28/2014,Loss,Other Portable Electronic Device,21/04/14,,28/01/14,NA,2014
984,983,NOVA Chiropractic & Rehab Center,VA,,5534,1/30/2014,"Loss, Other",Other Portable Electronic Device,21/04/14,,30/01/14,NA,2014
985,984,Susquehanna Health,PA,,657,12/05/13,Unauthorized Access/Disclosure,E-mail,21/04/14,,05/12/13,NA,2013
986,985,Jewish Hospital,KY,,2992,1/15/2014,Other,E-mail,21/04/14,,15/01/14,NA,2014
987,986,Franciscan Medical Group,WA,,8300,1/15/2014,Other,E-mail,21/04/14,,15/01/14,NA,2014
988,987,Palomar Health,CA,,5499,2/21/2014,Theft,Other Portable Electronic Device,21/04/14,,21/02/14,NA,2014
989,988,"Myriad Genetic Laboratories, Inc.",UT,,643,03/06/13,Unauthorized Access/Disclosure,E-mail,03/06/14,,06/03/13,NA,2013
990,989,Medical Center of Plano,TX,"RelayHealth, a division of McKesson",1000,12/10/13,Unauthorized Access/Disclosure,Other,03/06/14,,10/12/13,NA,2013
991,990,Florida Healthy Kids Corporation,FL,"Policy Studies, Inc. / Postal Center International, Inc.",580,11/13/2013,Unauthorized Access/Disclosure,Paper,21/04/14,,13/11/13,NA,2013
992,991,"Midwest Orthopaedics at Rush, LLC",IL,,1256,02/10/14,Hacking/IT Incident,E-mail,21/04/14,,10/02/14,NA,2014
993,992,Texas Health and Human Services Commission,TX,"EveryChild, Inc.",2934,02/02/14,Theft,"Laptop, Desktop Computer, Other Portable Electronic Device",21/04/14,,02/02/14,NA,2014
994,993,Kaiser Permanente Northern CA Department of Research,CA,,5178,10/18/2011,Hacking/IT Incident,Network Server,02/06/14,,18/10/11,NA,2011
995,994,Triple-S Salud ,PR,,5795,01/01/13,Theft,Other,24/06/14,,01/01/13,NA,2013
996,995,American Health Inc. ,PR,,17776,01/01/13,Theft,Other,27/06/14,,01/01/13,NA,2013
997,996,"State Long Term Care Ombudsman's Office, Michigan Department of Community Health",MI,,2595,1/30/2014,Theft,Other Portable Electronic Device,21/04/14,,30/01/14,NA,2014
998,997,County of Los Angeles,CA,"Sutherland Healthcare Solutions, Inc.",338700,02/05/14,Theft,"Desktop Computer, E-mail",21/04/14,,05/02/14,NA,2014
999,998,Presence St. Joseph's Medical Center,IL,,836,10/22/2013,Other,Paper,03/06/14,,22/10/13,NA,2013
1000,999,"Clinical Reference Laboratory, Inc.",KS,,979,02/06/14,Loss,Paper,21/04/14,,06/02/14,NA,2014
1001,1000,Various Health Plans,CT,Cigna,527,03/05/14,Loss,Paper,27/06/14,,05/03/14,NA,2014
1002,1001,"Amerigroup Texas, Inc. ",VA,"Amerigroup Texas, Inc. ",75026,04/01/12,Theft,Paper,13/05/14,,01/04/12,NA,2012
1003,1002,BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,MO,,2546,8/16/2013,Unauthorized Access/Disclosure,Other,21/04/14,,16/08/13,NA,2013
1004,1003,"University Urology, P.C.",TN,,1144,03/07/13,Unauthorized Access/Disclosure,Paper,13/05/14,,07/03/13,NA,2013
1005,1004,"Healthy Connections, Inc",CA,,793,3/25/2014,Loss,Other Portable Electronic Device,03/06/14,,25/03/14,NA,2014
1006,1005,Administracion de Seguros de Salud,PR,American Health Medicare,46473,05/08/13,Theft,Other Portable Electronic Device,03/06/14,,08/05/13,NA,2013
1007,1006,Greenwood Leflore Hospital,MS,,3750,2/23/2014,Theft,Other,09/05/14,,23/02/14,NA,2014
1008,1007,Maryland Developmental Disabilities Administration,MD,"Service Coordination, Inc.",10766,11/27/2013,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,11/06/14,,27/11/13,NA,2013
1009,1008,Los Robles Hospital and Medical Center,CA,"Courier Express/Atlanta, Courier Express/Charlotte & Courier Express US, Inc.",2523,2/14/2014,"Theft, Unauthorized Access/Disclosure",Paper,09/05/14,,14/02/14,NA,2014
1010,1009,Shaker Clinic,OH,,617,2/18/2014,Loss,Paper,27/05/14,,18/02/14,NA,2014
1011,1010,VGM Homelink,IA,Tri State Adjustments,1400,2/28/2014,Other,Other,27/05/14,,28/02/14,NA,2014
1012,1011,Larsen Dental Care LLC,ID,,6900,03/04/14,Theft,Other Portable Electronic Device,27/05/14,,04/03/14,NA,2014
1013,1012,The Union Labor Life Insurance Company,MD,,46771,2/17/2014,Theft,Laptop,27/05/14,,17/02/14,NA,2014
1014,1013,Coordinated Health,PA,,733,2/21/2014,Theft,Laptop,29/05/14,,21/02/14,NA,2014
1015,1014,CENTURA HEALTH,CO,,12286,02/11/14,Hacking/IT Incident,E-mail,29/05/14,,11/02/14,NA,2014
1016,1015,"Ladies First Choice, Inc.",FL,,2365,01/01/13,"Theft, Unauthorized Access/Disclosure",Laptop,29/05/14,,01/01/13,NA,2013
1017,1016,"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ",MA,,8830,04/10/14,Theft,Other,09/05/14,,10/04/14,NA,2014
1018,1017,Developmental Disabilities Administration,MD,Inclusion Research Institute,2200,03/03/14,Unauthorized Access/Disclosure,Paper,29/05/14,,03/03/14,NA,2014
1019,1018,Willis North America Inc. Medical Expense Benefit Plan,NY,,4830,3/19/2014,Unauthorized Access/Disclosure,E-mail,29/05/14,,19/03/14,NA,2014
1020,1019,Sorenson Communications/CaptionCall Group Health Plan,UT,Sorenson Communications,9800,2/20/2014,Hacking/IT Incident,Network Server,27/05/14,,20/02/14,NA,2014
1021,1020,Baylor Medical Center at McKinney,TX,,1253,1/23/2014,Hacking/IT Incident,E-mail,09/05/14,,23/01/14,NA,2014
1022,1021,Baylor Medical Center at Irving,TX,,2308,1/23/2014,Hacking/IT Incident,E-mail,09/05/14,,23/01/14,NA,2014
1023,1022,Baylor Regional Medical Center at Plano,TX,,1981,1/23/2014,Hacking/IT Incident,E-mail,07/05/14,,23/01/14,NA,2014
1024,1023,HealthTexas Provider Network,TX,,2742,1/23/2014,Hacking/IT Incident,E-mail,07/05/14,,23/01/14,NA,2014
1025,1024,DeKalb Health,IN,"Ferguson Advertising, Inc.",1361,02/09/14,Hacking/IT Incident,Network Server,27/05/14,,09/02/14,NA,2014
1026,1025,Iowa Medicaid Enterprise,IA,,862,2/26/2014,Unauthorized Access/Disclosure,Paper,29/05/14,,26/02/14,NA,2014
1027,1026,Flowers Hospital,AL,,629,06/03/13,Theft,Paper,20/06/14,,03/06/13,NA,2013
1028,1027,Reading Health System,PA,,1845,03/02/12,Loss,Paper,27/05/14,,02/03/12,NA,2012
1029,1028,City of Cincinnati,OH,OptumRx,5696,04/04/14,Other,Paper,07/05/14,,04/04/14,NA,2014
1030,1029,UMass Memorial Medical Center,MA,,2387,05/06/02,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",27/05/14,,06/05/02,NA,2002
1031,1030,The City of Henderson,KY,KEYSTONE INSURERS GROUP,1008,6/27/2012,Other,E-mail,27/05/14,,27/06/12,NA,2012
1032,1031,Options Counseling Center,NJ,,2828,05/01/11,"Theft, Unauthorized Access/Disclosure",Paper,18/06/14,,01/05/11,NA,2011
1033,1032,"Molina Healthcare of California Partner Plan, Inc.",CA,Creel Printing,4744,3/18/2014,Other,Paper,27/05/14,,18/03/14,NA,2014
1034,1033,Howard L. Weinstein D.P.M.,TX,,1000,3/13/2014,Theft,Laptop,27/05/14,,13/03/14,NA,2014
1035,1034,"Bio-Reference Laboratories, Inc.",NJ, Xand Corporation,1749,02/02/14,Other,Network Server,18/06/14,,02/02/14,NA,2014
1036,1035,American Health Inc. ,PR,,11531,9/20/2013,Unauthorized Access/Disclosure,Paper,18/06/14,,20/09/13,NA,2013
1037,1036,Central City Concern,OR,,17914,3/23/2010,Unauthorized Access/Disclosure,Other,18/06/14,,23/03/10,NA,2010
1038,1037,Blue Cross Blue Shield of Michigan/Blue Care Network,MI,Bloom Health,502,2/15/2014,"Unauthorized Access/Disclosure, Hacking/IT Incident",E-mail,18/06/14,,15/02/14,NA,2014
1039,1038,Elliot Health System,NH,,1208,3/26/2014,Theft,Desktop Computer,18/06/14,,26/03/14,NA,2014
1040,1039,Humana Inc [case #15381],KY,,2962,04/02/14,Theft,Other Portable Electronic Device,18/06/14,,02/04/14,NA,2014
1041,1040,Jamaica Hospital Medical Center,NY,,26162,08/01/11,Unauthorized Access/Disclosure,Desktop Computer,18/06/14,,01/08/11,NA,2011
1042,1041,Bay Park Hospital,OH,,594,04/01/13,Unauthorized Access/Disclosure,"Network Server, Electronic Medical Record",18/06/14,,01/04/13,NA,2013
1043,1042,Triple-S Salud ,PR,,56853,9/20/2013,Unauthorized Access/Disclosure,Paper,18/06/14,,20/09/13,NA,2013
1044,1043,Aetna Life Insurance Company,CT,"NFP Maschino, Hudelson & Associates",3814,04/02/14,Theft,Laptop,18/06/14,,02/04/14,NA,2014
1045,1044,Salina Health Education Foundation dba Salina Family Healthcare Center,KS,,9640,04/08/14,Unauthorized Access/Disclosure,E-mail,20/06/14,,08/04/14,NA,2014
1046,1045,Highmark Inc.,PA,,2589,4/19/2014,"Loss, Unauthorized Access/Disclosure",Paper,27/06/14,,19/04/14,NA,2014
1047,1046,Mark A. Gillispie,CA,,5845,11/20/2013,Theft,Desktop Computer,27/06/14,,20/11/13,NA,2013
1048,1047,Penn State Milton S Hershey Medical Center,PA,,1801,9/13/2013,Other,"E-mail, Other Portable Electronic Device",27/06/14,,13/09/13,NA,2013
1049,1048,Walgreen Co.,IL,,540,03/03/14,Theft,"Desktop Computer, Paper",20/06/14,,03/03/14,NA,2014
1050,1049,St. Francis Hospital,GA,,1175,5/30/2014,Other,E-mail,18/06/14,,30/05/14,NA,2014
1051,1050,Puerto Rico Health Insurance ,PR,American Health Inc,28413,9/20/2013,Theft,Other,27/06/14,,20/09/13,NA,2013
1052,1051,"Hospitalists of Brandon, LLC",FL,"Doctors First Choice Billings, Inc.",1831,02/11/14,Hacking/IT Incident,Other,27/06/14,,11/02/14,NA,2014
1053,1052,Santa Rosa Memorial Hospital ,CA,,33702,06/02/14,"Theft, Loss",Other Portable Electronic Device,27/06/14,,02/06/14,NA,2014
1054,1053,Group Health Plan of Hurley Medical Center,MI,,2289,5/13/2014,Unauthorized Access/Disclosure,E-mail,27/06/14,,13/05/14,NA,2014
1055,1054,"Abrham Tekola, M.D.,INC",CA,,5471,5/27/2014,Theft,Desktop Computer,27/06/14,,27/05/14,NA,2014
